"","URL","Name","YearEst","Employees","Revenue"
"1","https://www.proff.dk/firma/ferring-pharmaceuticals-as/kastrup/bioteknologi/09PNJ4I0225/","FERRING PHARMACEUTICALS A/S",1992,537,1051468
"2","https://www.proff.dk/firma/landbrug-f%C3%B8devarer-f.m.b.a./k%C3%B8benhavn-v/bioteknologi/0F76PLI0225/","LANDBRUG &amp; FØDEVARER F.M.B.A.",1964,1351,589000
"3","https://www.proff.dk/firma/roche-innovation-center-copenhagen-as/h%C3%B8rsholm/bioteknologi/0CBGIBI0225/","ROCHE INNOVATION CENTER COPENHAGEN A/S",1998,64,274294
"4","https://www.proff.dk/firma/zealand-pharma-as/s%C3%B8borg/bioteknologi/0BXMVQI0225/","ZEALAND PHARMA A/S",1997,222,262749
"5","https://www.proff.dk/firma/nordic-bioscience-as/herlev/bioteknologi/0IC5EOI0225/","NORDIC BIOSCIENCE A/S",2007,164,254960
"6","https://www.proff.dk/firma/pentabase-as/odense-c/bioteknologi/0HZ8T8I0225/","PENTABASE A/S",2007,168,199224
"7","https://www.proff.dk/firma/origio-as/m%C3%A5l%C3%B8v/bioteknologi/06J8F9I0225/","ORIGIO A/S",1987,133,185823
"8","https://www.proff.dk/firma/azanta-danmark-as/valby/bioteknologi/0F1EYFI0225/","AZANTA DANMARK A/S",2000,2,176299
"9","https://www.proff.dk/firma/gubra-aps/h%C3%B8rsholm/bioteknologi/0I60S9I0225/","GUBRA ApS",2008,160,134886
"10","https://www.proff.dk/firma/bioneer-as/h%C3%B8rsholm/bioteknologi/0GBGQ9I0225/","BIONEER A/S",2003,73,133577
"11","https://www.proff.dk/firma/vitrolife-as/viby-j/bioteknologi/0GBF7TI0225/","VITROLIFE A/S",2003,91,130352
"12","https://www.proff.dk/firma/glycom-as/h%C3%B8rsholm/bioteknologi/0GZ4CPI0225/","GLYCOM A/S",2005,54,123707
"13","https://www.proff.dk/firma/y-mabs-therapeutics-as/h%C3%B8rsholm/bioteknologi/0M26SUI0225/","Y-mAbs Therapeutics A/S",2015,97,82434
"14","https://www.proff.dk/firma/sophion-bioscience-as/ballerup/bioteknologi/05YSAXI0225/","SOPHION BIOSCIENCE A/S",2000,45,77484
"15","https://www.proff.dk/firma/nbcd-as/herlev/bioteknologi/0I7HKUI0225/","NBCD A/S",2007,39,59689
"16","https://www.proff.dk/firma/eurofins-genomics-europe-genotyping-as/galten/bioteknologi/05ZDPUI0225/","Eurofins Genomics Europe Genotyping A/S",2000,123,40932
"17","https://www.proff.dk/firma/qiagen-aarhus-as/aarhus-c/bioteknologi/0GUOCFI0225/","QIAGEN AARHUS A/S",2004,66,39485
"18","https://www.proff.dk/firma/pharmaceutical-research-associates-denmark-aps/k%C3%B8benhavn-v/bioteknologi/0JSIC8I0225/","PHARMACEUTICAL RESEARCH ASSOCIATES DENMARK ApS",2010,52,34746
"19","https://www.proff.dk/firma/savara-aps/hellerup/bioteknologi/0METVNI0225/","Savara ApS",2016,5,29197
"20","https://www.proff.dk/firma/minerva-imaging-aps/%C3%B8lstykke/bioteknologi/0KAEK2I0225/","MINERVA IMAGING ApS",2011,62,28061
"21","https://www.proff.dk/firma/inbicon-as/fredericia/bioteknologi/0G3HLNI0225/","INBICON A/S",2003,NA,25651
"22","https://www.proff.dk/firma/immudex-aps/virum/bioteknologi/0INWXII0225/","IMMUDEX ApS",2008,54,24389
"23","https://www.proff.dk/firma/syneos-health-denmark-aps/s%C3%B8borg/bioteknologi/0L33T2I0225/","Syneos Health Denmark ApS",2013,25,22872
"24","https://www.proff.dk/firma/evosep-aps/odense-c/bioteknologi/0MBYYCI0225/","Evosep ApS",2016,28,21644
"25","https://www.proff.dk/firma/proxeon-biosystems-aps/roskilde/bioteknologi/0FZG2GI0225/","PROXEON BIOSYSTEMS ApS",2002,NA,20729
"26","https://www.proff.dk/firma/vipergen-aps/k%C3%B8benhavn-v/bioteknologi/0H6E5QI0225/","VIPERGEN ApS",2005,15,3128
"27","https://www.proff.dk/firma/housetest-aps/odense-c/bioteknologi/0K5UQ6I0225/","HOUSETEST ApS",2011,3,3053
"28","https://www.proff.dk/firma/next-stage-ventures-aps/humleb%C3%A6k/bioteknologi/0MC5XJI0225/","Next Stage Ventures ApS",2016,3,2889
"29","https://www.proff.dk/firma/toft-plantefor%C3%A6dling-aps/roslev/bioteknologi/0EYQO2I0225/","TOFT PLANTEFORÆDLING ApS",1999,1,2741
"30","https://www.proff.dk/firma/bioscavenge-aps/g%C3%B8rlev/bioteknologi/0MVO7CI0225/","BioScavenge ApS",2017,3,2620
"31","https://www.proff.dk/firma/abtbioconsult-aps/hiller%C3%B8d/bioteknologi/0P83V8I0225/","AbtBioConsult ApS",2021,1,2513
"32","https://www.proff.dk/firma/river-stone-biotech-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0NAMDLI0225/","River Stone Biotech ApS",2017,23,2477
"33","https://www.proff.dk/firma/ranger-biotechnologies-as/odense-s%C3%B8/bioteknologi/0J7VPWI0225/","Ranger Biotechnologies A/S",2009,10,2429
"34","https://www.proff.dk/firma/immunaware-aps/h%C3%B8rsholm/bioteknologi/0NBYJ3I0225/","immunAware ApS",2017,5,2395
"35","https://www.proff.dk/firma/livag-aps/vedb%C3%A6k/bioteknologi/0NZ5PUI0225/","LIVAG ApS",2019,1,2274
"36","https://www.proff.dk/firma/cmcassist-aps/k%C3%B8benhavn-n/bioteknologi/0MJ9WTI0225/","CMCassist ApS",2016,5,2245
"37","https://www.proff.dk/firma/dhm-holding-as/k%C3%B8benhavn-%C3%B8/bioteknologi/070AP1I0225/","DHM HOLDING A/S",1987,3,2181
"38","https://www.proff.dk/firma/2a-pharma-aps/aalborg-%C3%B8st/bioteknologi/0NGAR1I0225/","2A Pharma ApS",2018,5,2096
"39","https://www.proff.dk/firma/desres-sub-denmark-aps/k%C3%B8benhavn-k/bioteknologi/0OPE8QI0225/","DESRES SUB DENMARK ApS",2020,0,2052
"40","https://www.proff.dk/firma/bainan-biotech-aps/k%C3%B8benhavn-n/bioteknologi/0NRAC4I0225/","Bainan Biotech ApS",2018,6,1953
"41","https://www.proff.dk/firma/biomodics-aps/kgs.lyngby/bioteknologi/0JKVU2I0225/","BIOMODICS ApS",2010,2,1916
"42","https://www.proff.dk/firma/biotest-facility-aps/trige/bioteknologi/0MLX7YI0225/","Biotest Facility ApS",2016,7,1861
"43","https://www.proff.dk/firma/bk-clinical-trials-consulting-ks/n%C3%A6rum/bioteknologi/0M3AZ0I0225/","BK Clinical Trials Consulting K/S",2015,NA,1856
"44","https://www.proff.dk/firma/kim-andersen-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0OKSOHI0225/","kim Andersen ApS",2020,NA,1825
"45","https://www.proff.dk/firma/pond-as/aarhus-c/bioteknologi/0LV6ITI0225/","pond A/S",2015,2,1796
"46","https://www.proff.dk/firma/pipeline-bioresearch-aps/aarhus-c/bioteknologi/0MIV5JI0225/","Pipeline Bioresearch ApS",2016,2,1612
"47","https://www.proff.dk/firma/solsten-diagnostics-international-aps/aarhus-n/bioteknologi/0O2NM8I0225/","Solsten Diagnostics International ApS",2019,7,1543
"48","https://www.proff.dk/firma/andstats-aps/frederiksberg/bioteknologi/0LV80FI0225/","AndStats ApS",2015,1,1512
"49","https://www.proff.dk/firma/dnasense-aps/aalborg-%C3%B8st/bioteknologi/0LGE85I0225/","DNASENSE ApS",2014,5,1446
"50","https://www.proff.dk/firma/hyamedix-aps/k%C3%B8benhavn-n/bioteknologi/0NBPQTI0225/","Hyamedix ApS",2017,3,1402
"51","https://www.proff.dk/firma/clirecon-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0INFTCI0225/","CLIRECON ApS",2008,NA,630
"52","https://www.proff.dk/firma/anapa-biotech-as/h%C3%B8rsholm/bioteknologi/0GF8UNI0225/","Anapa Biotech A/S",2004,1,526
"53","https://www.proff.dk/firma/immumap-services-aps/h%C3%B8rsholm/bioteknologi/0MQ422I0225/","Immumap Services ApS",2016,3,521
"54","https://www.proff.dk/firma/defos-aps/slangerup/bioteknologi/0MWLDCI0225/","Defos ApS",2017,NA,495
"55","https://www.proff.dk/firma/sn-biotech-holding-aps/aarhus-c/bioteknologi/0FQ1UBI0225/","SN BIOTECH HOLDING ApS",2001,NA,442
"56","https://www.proff.dk/firma/sited2-aps/v%C3%A6rl%C3%B8se/bioteknologi/0NPQIPI0225/","SiteD2 ApS",2018,NA,432
"57","https://www.proff.dk/firma/bee-patch-aps/lejre/bioteknologi/0IWXF0I0225/","BEE-PATCH ApS",2008,1,375
"58","https://www.proff.dk/firma/bifrost-biolabs-aps/glostrup/bioteknologi/0N1K75I0225/","Bifrost Biolabs ApS",2017,2,370
"59","https://www.proff.dk/firma/zp-general-partner-1-aps/s%C3%B8borg/bioteknologi/0LO8H0I0225/","ZP GENERAL PARTNER 1 ApS",2014,NA,0
"60","https://www.proff.dk/firma/proxi-biotech-aps/frederiksberg/bioteknologi/0NQBKBI0225/","PrOxi Biotech ApS",2018,2,337
"61","https://www.proff.dk/firma/2n-pharma-aps/aalborg-%C3%B8st/bioteknologi/0OIEFRI0225/","2N Pharma ApS",2020,9,336
"62","https://www.proff.dk/firma/lica-pharmaceuticals-as/hellerup/bioteknologi/0F2YP4I0225/","LICA PHARMACEUTICALS A/S",2000,NA,326
"63","https://www.proff.dk/firma/vigilare-biotech-aps/vissenbjerg/bioteknologi/0OOW8KI0225/","Vigilare Biotech ApS",2020,NA,325
"64","https://www.proff.dk/firma/pure-algae-denmark-aps/grenaa/bioteknologi/0NP7E5I0225/","Pure Algae Denmark ApS",2018,7,312
"65","https://www.proff.dk/firma/kem-en-tec-development-licensing-as/taastrup/bioteknologi/0CHU3DI0225/","KEM-EN-TEC DEVELOPMENT &amp; LICENSING A/S",1998,NA,310
"66","https://www.proff.dk/firma/epivizor-aps/silkeborg/bioteknologi/0NTC5JI0225/","Epivizor ApS",2018,NA,301
"67","https://www.proff.dk/firma/cell2cure-aps/birker%C3%B8d/bioteknologi/0NGIRBI0225/","Cell2Cure ApS",2018,NA,295
"68","https://www.proff.dk/firma/kj-bio-as/hinnerup/bioteknologi/0O0VVSI0225/","KJ Bio A/S",2019,1,262
"69","https://www.proff.dk/firma/methyl-detect-aps/aalborg-%C3%B8st/bioteknologi/0MTE15I0225/","Methyl Detect ApS",2016,1,256
"70","https://www.proff.dk/firma/smb-innovation-aps/roskilde/bioteknologi/0K5R1DI0225/","SMB INNOVATION ApS",2011,NA,240
"71","https://www.proff.dk/firma/v-biotek-holding-aps/k%C3%B8benhavn-k/bioteknologi/0I69GZI0225/","V-BIOTEK HOLDING ApS",2008,NA,239
"72","https://www.proff.dk/firma/bojesen-and-petersen-biotech-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0KNJ84I0225/","BOJESEN AND PETERSEN BIOTECH ApS",2012,NA,193
"73","https://www.proff.dk/firma/cph-proteomics-aps/br%C3%B8nsh%C3%B8j/bioteknologi/0MS7KWI0225/","CPH Proteomics ApS",2016,NA,164
"74","https://www.proff.dk/firma/microbial-data-analyses-aps/aarhus-c/bioteknologi/0NY8BWI0225/","Microbial Data Analyses ApS",2019,NA,162
"75","https://www.proff.dk/firma/xy-therapeutics-aps/charlottenlund/bioteknologi/0OHCX5I0225/","XY Therapeutics ApS",2020,2,153
"76","https://www.proff.dk/firma/cobo-scientific-aps/m%C3%A5l%C3%B8v/bioteknologi/0L2M0LI0225/","COBO Scientific ApS",2013,NA,18
"77","https://www.proff.dk/firma/cleardynamic-aps/n%C3%B8rresundby/bioteknologi/0OF70VI0225/","ClearDynamic ApS",2019,NA,11
"78","https://www.proff.dk/firma/ole-ussing-aps/aalborg/bioteknologi/09IVIGI0225/","OLE USSING ApS",1992,1,10
"79","https://www.proff.dk/firma/zp-general-partner-2-aps/s%C3%B8borg/bioteknologi/0LOC34I0225/","ZP GENERAL PARTNER 2 ApS",2014,NA,0
"80","https://www.proff.dk/firma/mct-bioseparation-aps/kongens-lyngby/bioteknologi/0OKJYMI0225/","MCT Bioseparation Aps",2020,NA,4
"81","https://www.proff.dk/firma/snipr-biome-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0N559PI0225/","SNIPR Biome ApS",2017,46,38908
"82","https://www.proff.dk/firma/afyx-therapeutics-as/k%C3%B8benhavn-s/bioteknologi/0LC64BI0225/","Afyx Therapeutics A/S",2014,3,36231
"83","https://www.proff.dk/firma/the-quality-living-aps/kongens-lyngby/bioteknologi/0IX0E5I0225/","The Quality Living ApS",2008,NA,2
