"","Company","Address","Lat","Long"
"1","AdaptVac ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"2","BGI EUROPE A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"3","Clinical-Microbiomics A/S","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"4","Selskabet af 27. juni 1997 ApS","Gartnerhaven 5, 6823 Ansager",8.754698,55.706107
"5","Embark Biotech ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"6","ALPHALYSE A/S","Rødegårdsvej 209 C 1, 5230 Odense M",10.4243426,55.3777661
"7","AMPLIQON A/S","Stenhuggervej 22, 5230 Odense M",10.419013,55.379057
"8","Eurofins Genomics Denmark A/S","Smedeskovvej 38, 8464 Galten",9.915306,56.15924
"9","BIOPORTO A/S","Tuborg Havnevej 15 st, 2900 Hellerup",12.582695,55.726812
"10","CysBio ApS","Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"11","Fida Biosystems ApS","Generatorvej 6 1, 2860 Søborg",12.466796,55.730498
"12","Sanos A/S","Herlev Hovedgade 82, 2730 Herlev",12.445685,55.721845
"13","GRUNDFOS BIOBOOSTER A/S","Randersvej 22 A, 8870 Langå",9.9001885,56.3984159
"14","BioXpedia A/S","Palle Juul-Jensens Boulevard 82, 8200 Aarhus N",NA,NA
"15","INMOLD A/S","Savsvinget 4, 2970 Hørsholm",12.492466,55.901517
"16","VISIANA ApS","Fremtidsvej 1, 2970 Hørsholm",12.488666,55.869072
"17","GALECTO BIOTECH ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"18","IMMUNITRACK ApS","Lersø Parkallé 42 4, 2100 København Ø",12.556947,55.707777
"19","CiVi Biopharma A/S","Sundkrogsgade 21, 2100 København Ø",12.592722,55.713556
"20","BIOVANTAGE.DK ApS","Skindergade 15, 1159 København K",12.575536,55.680342
"21","AQUAPORIN A/S","Nymøllevej 78, 2800 Kgs. Lyngby",12.522991,55.800266
"22","Qlife ApS","Borupvang 3, 2750 Ballerup",12.383222,55.73255
"23","TAG COPENHAGEN A/S","Kong Georgs Vej 12 B, 2000 Frederiksberg",12.5324821,55.6886708
"24","Artisan Research Labs ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"25","2cureX A/S","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"26","Hoba Therapeutics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"27","Zentexia ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"28","PanCryos ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"29","BIOSYNERGY A/S","Østerhovedvej 4, 5700 Svendborg",10.468692,55.006346
"30","Omiics ApS","Åbogade 15, 8200 Aarhus N",10.187798,56.172331
"31","Unseen Biometrics ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"32","SILMECO ApS","Kenny Drews Vej 101 3 3, 2450 København SV",12.552035,55.644762
"33","AVP BioPharma Consult ApS","Teknikerbyen 5 1, 2830 Virum",12.495471,55.800083
"34","HOEJMARK GROUP A/S","Adelvej 11, 6940 Lem St",8.398529,56.054178
"35","Save Stemcell Center ApS","Sorøvej 108, 4200 Slagelse",11.410814,55.417248
"36","PHARMA EVIDENCE ApS","Sommervej 9, 3520 Farum",12.407308,55.814993
"37","RE Energy Properties A/S","Slotsherrensvej 411 B, 2610 Rødovre",12.4509186,55.7014756
"38","ME-TA ApS","Hollandsvej 12 3, 2800 Kongens Lyngby",12.5090453,55.7657632
"39","BIOMEDIQ A/S","Strandlinien 59, 2791 Dragør",12.674427,55.591342
"40","Consibio ApS","Sindalsvej 37 st, 8240 Risskov",10.217247,56.208203
"41","C- ApS","Margrethevej 20, 2900 Hellerup",12.570431,55.734748
"42","GREATOP SCIENCE &amp; TECHNOLOGY DEVELOPMENT (DENMARK) ApS","Østerøvej 113, 5800 Nyborg",10.816767,55.310212
"43","Dianox ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"44","Octarine Bio ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"45","PreDiagnose ApS","Snedkergangen 4 D, 2690 Karlslunde",12.2356659,55.5717338
